Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10
Data,0,record,timestamp,1569346020,s,speed,31,m/s,stance_time,252,ms,pronation_excursion,15,degrees,pitch_excursion,81,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346025,s,speed,31,m/s,stance_time,258,ms,pronation_excursion,14,degrees,pitch_excursion,80,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346030,s,speed,31,m/s,stance_time,259,ms,pronation_excursion,13,degrees,pitch_excursion,78,degrees,impact_gs,16,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346035,s,speed,30,m/s,stance_time,258,ms,pronation_excursion,14,degrees,pitch_excursion,78,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346040,s,speed,29,m/s,stance_time,263,ms,pronation_excursion,13,degrees,pitch_excursion,77,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346045,s,speed,30,m/s,stance_time,265,ms,pronation_excursion,14,degrees,pitch_excursion,78,degrees,impact_gs,14,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346050,s,speed,30,m/s,stance_time,256,ms,pronation_excursion,13,degrees,pitch_excursion,79,degrees,impact_gs,14,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346055,s,speed,31,m/s,stance_time,268,ms,pronation_excursion,13,degrees,pitch_excursion,77,degrees,impact_gs,14,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346060,s,speed,30,m/s,stance_time,265,ms,pronation_excursion,11,degrees,pitch_excursion,80,degrees,impact_gs,14,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346064,s,speed,,m/s,stance_time,,ms,pronation_excursion,,degrees,pitch_excursion,,degrees,impact_gs,,gs,footstrike_type,,type,,,,,,,,,
Data,0,record,timestamp,1569346065,s,speed,30,m/s,stance_time,266,ms,pronation_excursion,13,degrees,pitch_excursion,78,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346070,s,speed,30,m/s,stance_time,265,ms,pronation_excursion,11,degrees,pitch_excursion,80,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346075,s,speed,31,m/s,stance_time,262,ms,pronation_excursion,12,degrees,pitch_excursion,80,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346080,s,speed,31,m/s,stance_time,263,ms,pronation_excursion,12,degrees,pitch_excursion,79,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346085,s,speed,31,m/s,stance_time,264,ms,pronation_excursion,12,degrees,pitch_excursion,79,degrees,impact_gs,14,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346090,s,speed,31,m/s,stance_time,265,ms,pronation_excursion,12,degrees,pitch_excursion,81,degrees,impact_gs,14,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346095,s,speed,31,m/s,stance_time,263,ms,pronation_excursion,12,degrees,pitch_excursion,82,degrees,impact_gs,13,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346100,s,speed,31,m/s,stance_time,262,ms,pronation_excursion,12,degrees,pitch_excursion,82,degrees,impact_gs,14,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346105,s,speed,31,m/s,stance_time,261,ms,pronation_excursion,13,degrees,pitch_excursion,83,degrees,impact_gs,14,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346110,s,speed,33,m/s,stance_time,266,ms,pronation_excursion,12,degrees,pitch_excursion,82,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346115,s,speed,33,m/s,stance_time,267,ms,pronation_excursion,12,degrees,pitch_excursion,85,degrees,impact_gs,16,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346120,s,speed,33,m/s,stance_time,264,ms,pronation_excursion,12,degrees,pitch_excursion,89,degrees,impact_gs,17,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346125,s,speed,34,m/s,stance_time,266,ms,pronation_excursion,13,degrees,pitch_excursion,85,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346130,s,speed,33,m/s,stance_time,257,ms,pronation_excursion,15,degrees,pitch_excursion,87,degrees,impact_gs,16,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346135,s,speed,32,m/s,stance_time,253,ms,pronation_excursion,13,degrees,pitch_excursion,84,degrees,impact_gs,14,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346140,s,speed,30,m/s,stance_time,264,ms,pronation_excursion,12,degrees,pitch_excursion,82,degrees,impact_gs,14,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346145,s,speed,29,m/s,stance_time,269,ms,pronation_excursion,12,degrees,pitch_excursion,80,degrees,impact_gs,16,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346150,s,speed,31,m/s,stance_time,265,ms,pronation_excursion,16,degrees,pitch_excursion,81,degrees,impact_gs,16,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346155,s,speed,31,m/s,stance_time,263,ms,pronation_excursion,15,degrees,pitch_excursion,79,degrees,impact_gs,16,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346160,s,speed,29,m/s,stance_time,262,ms,pronation_excursion,14,degrees,pitch_excursion,80,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346165,s,speed,29,m/s,stance_time,268,ms,pronation_excursion,15,degrees,pitch_excursion,81,degrees,impact_gs,14,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346170,s,speed,30,m/s,stance_time,269,ms,pronation_excursion,15,degrees,pitch_excursion,80,degrees,impact_gs,14,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346175,s,speed,29,m/s,stance_time,256,ms,pronation_excursion,14,degrees,pitch_excursion,82,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346180,s,speed,29,m/s,stance_time,275,ms,pronation_excursion,12,degrees,pitch_excursion,80,degrees,impact_gs,13,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346185,s,speed,31,m/s,stance_time,266,ms,pronation_excursion,12,degrees,pitch_excursion,82,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346190,s,speed,30,m/s,stance_time,254,ms,pronation_excursion,15,degrees,pitch_excursion,80,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346195,s,speed,31,m/s,stance_time,259,ms,pronation_excursion,13,degrees,pitch_excursion,82,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346200,s,speed,30,m/s,stance_time,257,ms,pronation_excursion,16,degrees,pitch_excursion,81,degrees,impact_gs,16,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346205,s,speed,29,m/s,stance_time,259,ms,pronation_excursion,16,degrees,pitch_excursion,83,degrees,impact_gs,14,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346210,s,speed,30,m/s,stance_time,264,ms,pronation_excursion,17,degrees,pitch_excursion,84,degrees,impact_gs,13,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346215,s,speed,30,m/s,stance_time,263,ms,pronation_excursion,14,degrees,pitch_excursion,84,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346220,s,speed,31,m/s,stance_time,262,ms,pronation_excursion,13,degrees,pitch_excursion,83,degrees,impact_gs,14,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346225,s,speed,32,m/s,stance_time,257,ms,pronation_excursion,13,degrees,pitch_excursion,85,degrees,impact_gs,14,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346230,s,speed,31,m/s,stance_time,258,ms,pronation_excursion,13,degrees,pitch_excursion,87,degrees,impact_gs,16,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346235,s,speed,31,m/s,stance_time,258,ms,pronation_excursion,15,degrees,pitch_excursion,84,degrees,impact_gs,17,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346240,s,speed,32,m/s,stance_time,265,ms,pronation_excursion,14,degrees,pitch_excursion,85,degrees,impact_gs,17,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346245,s,speed,31,m/s,stance_time,253,ms,pronation_excursion,15,degrees,pitch_excursion,87,degrees,impact_gs,16,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346250,s,speed,31,m/s,stance_time,259,ms,pronation_excursion,15,degrees,pitch_excursion,87,degrees,impact_gs,14,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346255,s,speed,32,m/s,stance_time,260,ms,pronation_excursion,14,degrees,pitch_excursion,85,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346260,s,speed,31,m/s,stance_time,267,ms,pronation_excursion,14,degrees,pitch_excursion,88,degrees,impact_gs,14,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346265,s,speed,32,m/s,stance_time,262,ms,pronation_excursion,16,degrees,pitch_excursion,87,degrees,impact_gs,14,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346270,s,speed,33,m/s,stance_time,261,ms,pronation_excursion,16,degrees,pitch_excursion,87,degrees,impact_gs,16,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346275,s,speed,33,m/s,stance_time,263,ms,pronation_excursion,14,degrees,pitch_excursion,89,degrees,impact_gs,16,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346280,s,speed,32,m/s,stance_time,266,ms,pronation_excursion,14,degrees,pitch_excursion,90,degrees,impact_gs,16,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346285,s,speed,32,m/s,stance_time,257,ms,pronation_excursion,16,degrees,pitch_excursion,90,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346290,s,speed,32,m/s,stance_time,260,ms,pronation_excursion,17,degrees,pitch_excursion,90,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346295,s,speed,32,m/s,stance_time,260,ms,pronation_excursion,18,degrees,pitch_excursion,91,degrees,impact_gs,14,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346300,s,speed,29,m/s,stance_time,263,ms,pronation_excursion,16,degrees,pitch_excursion,89,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346305,s,speed,32,m/s,stance_time,259,ms,pronation_excursion,19,degrees,pitch_excursion,88,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346310,s,speed,34,m/s,stance_time,255,ms,pronation_excursion,16,degrees,pitch_excursion,90,degrees,impact_gs,16,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346315,s,speed,33,m/s,stance_time,256,ms,pronation_excursion,13,degrees,pitch_excursion,91,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346320,s,speed,32,m/s,stance_time,255,ms,pronation_excursion,15,degrees,pitch_excursion,89,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346325,s,speed,31,m/s,stance_time,260,ms,pronation_excursion,15,degrees,pitch_excursion,89,degrees,impact_gs,13,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346330,s,speed,31,m/s,stance_time,259,ms,pronation_excursion,17,degrees,pitch_excursion,89,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346335,s,speed,29,m/s,stance_time,262,ms,pronation_excursion,16,degrees,pitch_excursion,87,degrees,impact_gs,13,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346340,s,speed,31,m/s,stance_time,257,ms,pronation_excursion,16,degrees,pitch_excursion,90,degrees,impact_gs,14,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346345,s,speed,32,m/s,stance_time,265,ms,pronation_excursion,16,degrees,pitch_excursion,88,degrees,impact_gs,13,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346350,s,speed,32,m/s,stance_time,261,ms,pronation_excursion,15,degrees,pitch_excursion,89,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346355,s,speed,32,m/s,stance_time,261,ms,pronation_excursion,15,degrees,pitch_excursion,90,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346360,s,speed,30,m/s,stance_time,268,ms,pronation_excursion,15,degrees,pitch_excursion,91,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346365,s,speed,29,m/s,stance_time,265,ms,pronation_excursion,16,degrees,pitch_excursion,87,degrees,impact_gs,14,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346370,s,speed,30,m/s,stance_time,269,ms,pronation_excursion,17,degrees,pitch_excursion,90,degrees,impact_gs,13,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346375,s,speed,28,m/s,stance_time,267,ms,pronation_excursion,16,degrees,pitch_excursion,89,degrees,impact_gs,14,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346380,s,speed,28,m/s,stance_time,272,ms,pronation_excursion,13,degrees,pitch_excursion,86,degrees,impact_gs,14,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346385,s,speed,30,m/s,stance_time,273,ms,pronation_excursion,14,degrees,pitch_excursion,88,degrees,impact_gs,14,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346390,s,speed,31,m/s,stance_time,273,ms,pronation_excursion,14,degrees,pitch_excursion,90,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346395,s,speed,30,m/s,stance_time,269,ms,pronation_excursion,14,degrees,pitch_excursion,93,degrees,impact_gs,14,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346400,s,speed,29,m/s,stance_time,266,ms,pronation_excursion,15,degrees,pitch_excursion,93,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346405,s,speed,27,m/s,stance_time,270,ms,pronation_excursion,15,degrees,pitch_excursion,90,degrees,impact_gs,13,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346410,s,speed,27,m/s,stance_time,272,ms,pronation_excursion,16,degrees,pitch_excursion,86,degrees,impact_gs,13,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346415,s,speed,30,m/s,stance_time,273,ms,pronation_excursion,19,degrees,pitch_excursion,89,degrees,impact_gs,12,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346420,s,speed,30,m/s,stance_time,264,ms,pronation_excursion,16,degrees,pitch_excursion,90,degrees,impact_gs,14,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346425,s,speed,29,m/s,stance_time,262,ms,pronation_excursion,16,degrees,pitch_excursion,90,degrees,impact_gs,13,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346430,s,speed,30,m/s,stance_time,270,ms,pronation_excursion,15,degrees,pitch_excursion,87,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346435,s,speed,30,m/s,stance_time,270,ms,pronation_excursion,14,degrees,pitch_excursion,87,degrees,impact_gs,14,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346440,s,speed,31,m/s,stance_time,271,ms,pronation_excursion,13,degrees,pitch_excursion,89,degrees,impact_gs,15,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346445,s,speed,27,m/s,stance_time,271,ms,pronation_excursion,15,degrees,pitch_excursion,89,degrees,impact_gs,14,gs,footstrike_type,14.0,type,,,,,,,,,
