Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10
Data,0,record,timestamp,1569346525,s,speed,26,m/s,stance_time,281,ms,pronation_excursion,11,degrees,pitch_excursion,82,degrees,impact_gs,14,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346530,s,speed,26,m/s,stance_time,279,ms,pronation_excursion,14,degrees,pitch_excursion,81,degrees,impact_gs,14,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346535,s,speed,26,m/s,stance_time,278,ms,pronation_excursion,12,degrees,pitch_excursion,83,degrees,impact_gs,13,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346540,s,speed,26,m/s,stance_time,278,ms,pronation_excursion,14,degrees,pitch_excursion,84,degrees,impact_gs,13,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346545,s,speed,27,m/s,stance_time,279,ms,pronation_excursion,13,degrees,pitch_excursion,82,degrees,impact_gs,12,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346550,s,speed,27,m/s,stance_time,274,ms,pronation_excursion,15,degrees,pitch_excursion,85,degrees,impact_gs,12,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346555,s,speed,28,m/s,stance_time,278,ms,pronation_excursion,11,degrees,pitch_excursion,83,degrees,impact_gs,13,gs,footstrike_type,13.0,type,,,,,,,,,
Data,0,record,timestamp,1569346560,s,speed,27,m/s,stance_time,272,ms,pronation_excursion,12,degrees,pitch_excursion,88,degrees,impact_gs,13,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346565,s,speed,29,m/s,stance_time,285,ms,pronation_excursion,14,degrees,pitch_excursion,84,degrees,impact_gs,13,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346570,s,speed,29,m/s,stance_time,273,ms,pronation_excursion,13,degrees,pitch_excursion,86,degrees,impact_gs,13,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346575,s,speed,27,m/s,stance_time,262,ms,pronation_excursion,14,degrees,pitch_excursion,88,degrees,impact_gs,14,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346580,s,speed,28,m/s,stance_time,267,ms,pronation_excursion,17,degrees,pitch_excursion,89,degrees,impact_gs,14,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346585,s,speed,27,m/s,stance_time,265,ms,pronation_excursion,17,degrees,pitch_excursion,85,degrees,impact_gs,14,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346590,s,speed,26,m/s,stance_time,275,ms,pronation_excursion,12,degrees,pitch_excursion,82,degrees,impact_gs,11,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346595,s,speed,26,m/s,stance_time,284,ms,pronation_excursion,13,degrees,pitch_excursion,83,degrees,impact_gs,12,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346600,s,speed,28,m/s,stance_time,283,ms,pronation_excursion,13,degrees,pitch_excursion,82,degrees,impact_gs,12,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346605,s,speed,26,m/s,stance_time,276,ms,pronation_excursion,13,degrees,pitch_excursion,85,degrees,impact_gs,12,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346610,s,speed,25,m/s,stance_time,276,ms,pronation_excursion,13,degrees,pitch_excursion,84,degrees,impact_gs,12,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346615,s,speed,27,m/s,stance_time,281,ms,pronation_excursion,14,degrees,pitch_excursion,81,degrees,impact_gs,13,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346620,s,speed,25,m/s,stance_time,290,ms,pronation_excursion,13,degrees,pitch_excursion,84,degrees,impact_gs,13,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346625,s,speed,26,m/s,stance_time,291,ms,pronation_excursion,12,degrees,pitch_excursion,81,degrees,impact_gs,12,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346630,s,speed,26,m/s,stance_time,291,ms,pronation_excursion,11,degrees,pitch_excursion,79,degrees,impact_gs,11,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346635,s,speed,25,m/s,stance_time,286,ms,pronation_excursion,12,degrees,pitch_excursion,80,degrees,impact_gs,12,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346640,s,speed,29,m/s,stance_time,289,ms,pronation_excursion,12,degrees,pitch_excursion,79,degrees,impact_gs,12,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346645,s,speed,27,m/s,stance_time,277,ms,pronation_excursion,12,degrees,pitch_excursion,85,degrees,impact_gs,13,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346650,s,speed,26,m/s,stance_time,288,ms,pronation_excursion,14,degrees,pitch_excursion,83,degrees,impact_gs,11,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346655,s,speed,25,m/s,stance_time,279,ms,pronation_excursion,16,degrees,pitch_excursion,84,degrees,impact_gs,12,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346660,s,speed,11,m/s,stance_time,287,ms,pronation_excursion,16,degrees,pitch_excursion,81,degrees,impact_gs,13,gs,footstrike_type,14.0,type,,,,,,,,,
Data,0,record,timestamp,1569346665,s,speed,0,m/s,stance_time,646,ms,pronation_excursion,7,degrees,pitch_excursion,58,degrees,impact_gs,10,gs,footstrike_type,13.0,type,,,,,,,,,
Data,0,record,timestamp,1569346670,s,speed,,m/s,stance_time,0,ms,pronation_excursion,0,degrees,pitch_excursion,0,degrees,impact_gs,0,gs,footstrike_type,,type,,,,,,,,,
